Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de crianças de 1 (um) ano de idade vacinadas na APS contra Difteria, Tétano, Coqueluche, Hepatite B, infecções causadas por haemophilus influenzae tipo b e Poliomielite inativada"
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
MS;500200;BATAYPORÃ;32;42;76;42;38;13212;33;111;11349;
MG;313980;MAR DE ESPANHA;32;42;76;42;42;12563;43;100;12901;
MG;314650;PAINS;32;43;74;43;21;8767;20;205;8296;
PE;260150;BELÉM DE MARIA;32;43;74;43;31;10572;36;139;12122;
TO;170040;ALMAS;32;44;73;44;32;7307;31;138;6979;
GO;522119;TEREZÓPOLIS DE GOIÁS;32;44;73;44;33;9380;29;133;8186;
MT;510610;NOSSA SENHORA DO LIVRAMENTO;32;44;73;44;41;13786;39;107;13104;
PR;411670;NOVA AURORA;32;45;71;35;45;13707;34;78;10299;
BA;291230;IBICUÍ;32;45;71;45;35;15207;37;129;16230;
GO;520340;BOM JARDIM DE GOIÁS;32;46;70;46;21;8836;21;219;8869;
PR;411250;JARDIM ALEGRE;32;47;68;33;47;12333;43;70;11196;
MG;314535;NOVO ORIENTE DE MINAS;32;48;67;48;33;10383;34;145;10778;
RS;430110;ARROIO DOS RATOS;32;48;67;48;42;14039;42;114;14177;
SC;420195;BALNEÁRIO ARROIO DO SILVA;32;48;67;48;50;15521;43;96;13430;
AL;270740;PORTO DE PEDRAS;32;49;65;49;42;9488;34;117;7701;
PA;150500;NOVA TIMBOTEUA;32;51;63;51;31;14308;34;165;15506;
BA;292303;NOVO HORIZONTE;32;52;62;52;31;12322;32;168;12522;
BA;292610;RETIROLÂNDIA;32;58;55;58;53;13700;56;109;14495;
MA;210190;BEQUIMÃO;32;60;53;60;67;17324;82;90;21299;
PE;260490;CUMARU;32;64;50;48;64;15254;43;75;10192;
RR;140023;CAROEBE;32;64;50;64;44;9365;49;145;10383;
AC;120034;MANOEL URBANO;32;68;47;68;66;10157;62;103;9581;
MG;314870;PEDRA AZUL;32;70;46;70;72;20997;83;97;24329;
CE;230970;PACATUBA;320;389;82;389;244;70134;294;159;84554;
MG;316860;TEÓFILO OTONI;321;533;60;406;533;126735;593;76;140937;
PA;150130;BARCARENA;321;555;58;555;605;113880;675;92;127027;
RS;431870;SÃO LEOPOLDO;322;401;80;401;258;77003;800;155;238648;
GO;521523;NOVO GAMA;322;483;67;483;185;52633;414;261;117703;
MG;316720;SETE LAGOAS;325;484;67;484;554;170665;785;87;241835;
SC;420320;CAMBORIÚ;329;445;74;445;373;76773;414;119;85105;
MA;210710;MORROS;33;107;31;107;101;17859;111;106;19572;
MG;312290;DONA EUSÉBIA;33;33;100;33;14;6762;14;236;6619;
MG;316045;SANTO ANTÔNIO DO RETIRO;33;34;97;34;18;7303;18;189;7297;
PB;250077;APARECIDA;33;34;97;34;23;8891;22;148;8416;
PB;250660;IBIARA;33;35;94;35;17;6345;16;206;5903;
SP;354950;SÃO JOSÉ DA BELA VISTA;33;35;94;35;23;7878;26;152;8960;
MG;313865;LONTRA;33;35;94;35;24;9032;26;146;9714;
GO;521970;SANTA TEREZINHA DE GOIÁS;33;35;94;35;27;8995;26;130;8562;
PR;411610;MOREIRA SALES;33;35;94;35;31;10330;36;113;12042;
SP;354490;SALES OLIVEIRA;33;35;94;35;32;12164;32;109;11998;
MT;510890;NOVA MARINGÁ;33;36;92;36;15;6861;19;240;8850;
SP;353520;PALMEIRA D'OESTE;33;36;92;36;19;10068;17;189;9227;
SP;354105;PRATÂNIA;33;36;92;36;19;6402;16;189;5317;
TO;171575;PALMEIRÓPOLIS;33;36;92;36;25;8327;23;144;7676;
SC;421470;RIO DOS CEDROS;33;36;92;36;29;13056;26;124;11808;
SC;421420;QUILOMBO;33;36;92;36;39;10866;35;92;9829;
MT;510345;DENISE;33;37;89;37;18;6945;25;206;9544;
RS;430730;ERVAL SECO;33;37;89;37;24;7211;23;154;6802;
SP;355050;SÃO PEDRO DO TURVO;33;37;89;37;30;8831;26;123;7696;
RS;432270;VERA CRUZ;33;37;89;37;32;11590;75;116;27099;
RN;240240;CARNAÚBA DOS DANTAS;33;38;87;38;20;8152;20;190;8239;
RN;240570;JARDIM DO SERIDÓ;33;38;87;38;28;13669;25;136;12396;
BA;292160;MORPARÁ;33;38;87;38;29;8376;29;131;8497;
ES;320465;SÃO DOMINGOS DO NORTE;33;38;87;38;33;10238;28;115;8687;
MA;210310;CEDRAL;33;39;85;39;22;9606;25;177;10693;
BA;290689;CARAÍBAS;33;39;85;39;23;10314;20;170;8801;
RN;240270;CERRO CORÁ;33;39;85;39;39;11056;39;100;11181;
MG;315420;RESENDE COSTA;33;40;83;40;29;11623;29;138;11540;
PE;260360;CAMUTANGA;33;40;83;40;32;8937;31;125;8572;
MG;313740;LAGOA DOURADA;33;40;83;40;43;13012;43;93;13063;
SP;354515;SALTINHO;33;41;80;41;34;11812;24;121;8393;
MG;311100;CAMPESTRE;33;41;80;41;34;15552;46;121;21054;
CE;230533;IBICUITINGA;33;41;80;41;37;12887;36;111;12629;
PR;412330;SANTA CRUZ DE MONTE CASTELO;33;41;80;41;44;9134;37;93;7751;
PB;250090;ARARA;33;42;79;42;25;12435;27;168;13542;
BA;291130;GENTIO DO OURO;33;42;79;42;32;11166;32;131;11259;
PB;250570;DONA INÊS;33;42;79;42;41;10940;39;102;10413;
PB;251510;SÃO SEBASTIÃO DE LAGOA DE ROÇA;33;42;79;42;43;12502;40;98;11728;
MS;500400;GLÓRIA DE DOURADOS;33;44;75;44;38;10820;35;116;9950;
SE;280240;GARARU;33;44;75;44;39;11178;40;113;11601;
MG;312595;FERVEDOURO;33;44;75;44;39;11641;37;113;11054;
CE;230040;AIUABA;33;44;75;44;43;14581;52;102;17493;
MG;316557;SENADOR AMARAL;33;45;73;45;35;7547;25;129;5361;
MG;312352;DURANDÉ;33;46;72;46;27;8545;25;170;7870;
BA;291620;ITAPÉ;33;46;72;46;37;11258;28;124;8526;
MA;211172;SATUBINHA;33;47;70;47;12;8874;19;392;14096;
BA;290160;ANTAS;33;47;70;47;24;11953;39;196;19479;
MG;314995;PERIQUITO;33;47;70;47;33;7641;29;142;6773;
MG;315340;PRESIDENTE OLEGÁRIO;33;50;66;50;49;17313;56;102;19627;
MG;316190;SÃO GONÇALO DO RIO ABAIXO;33;50;66;50;51;14176;40;98;11019;
BA;290040;ÁGUA FRIA;33;52;63;52;29;14019;35;179;17033;
BA;290220;ARAMARI;33;53;62;53;24;9901;28;221;11461;
TO;170290;AXIXÁ DO TOCANTINS;33;54;61;54;58;11487;49;93;9787;
MG;313300;ITAMONTE;33;56;59;41;56;16234;54;73;15714;
GO;520170;ARAGARÇAS;33;58;57;58;68;18969;73;85;20273;
SC;420665;GUATAMBÚ;33;59;56;48;59;8687;32;81;4698;
MA;211170;SÃO VICENTE FERRER;33;63;52;63;54;16914;72;117;22350;
RO;110033;NOVA MAMORÉ;33;74;45;57;74;16295;142;77;31392;
BA;291710;ITORORÓ;33;74;45;74;46;20171;46;161;20388;
PA;150540;OURÉM;33;83;40;58;83;17209;87;70;17961;
AM;130423;TONANTINS;33;90;37;90;85;12265;131;106;18897;
AC;120045;SENADOR GUIOMARD;33;97;34;97;85;17675;112;114;23236;
AM;130420;TEFÉ;332;599;55;494;599;65808;542;82;59547;
MT;510525;LUCAS DO RIO VERDE;332;604;55;442;604;88256;463;73;67620;
BA;292400;PAULO AFONSO;333;446;75;446;414;99726;492;108;118516;
RN;240325;PARNAMIRIM;333;592;56;592;650;173320;1002;91;267036;
RS;431690;SANTA MARIA;335;475;71;475;374;97030;1094;127;283677;
SP;355540;UBATUBA;338;439;77;439;372;92617;369;118;91824;
MG;315180;POÇOS DE CALDAS;338;456;74;456;462;127214;613;99;168641;
MG;311830;CONSELHEIRO LAFAIETE;339;501;68;416;501;122618;530;83;129606;
MA;210760;PALMEIRÂNDIA;34;101;34;101;89;18502;95;113;19781;
AP;160050;OIAPOQUE;34;118;29;118;131;24607;148;90;27906;
AL;270660;PAULO JACINTO;34;34;100;34;18;8008;17;189;7560;
MG;316420;SÃO ROMÃO;34;35;97;35;14;7824;22;250;12529;
MG;315660;RUBIM;34;35;97;35;20;9410;22;175;10256;
PB;250915;MARIZÓPOLIS;34;36;94;36;19;7023;18;189;6654;
MG;313160;IRAÍ DE MINAS;34;36;94;36;23;7268;22;157;7027;
SP;351230;CONCHAS;34;36;94;36;35;11928;53;103;18019;
SC;420030;AGRONÔMICA;34;37;92;37;18;6624;15;206;5509;
MG;316220;SÃO JOÃO BATISTA DO GLÓRIA;34;37;92;37;23;8768;20;161;7498;
MG;311790;CONGONHAL;34;37;92;37;31;12755;29;119;12082;
SC;420770;IPUMIRIM;34;38;89;38;22;8078;21;173;7620;
PB;250157;BARRA DE SANTANA;34;38;89;38;26;8710;25;146;8349;
PB;250120;AREIAL;34;38;89;38;30;8442;25;127;7027;
PB;251010;NOVA FLORESTA;34;38;89;38;30;9246;34;127;10626;
MG;310210;ALTO RIO DOCE;34;38;89;38;31;12450;27;123;10859;
SC;420640;GUARACIABA;34;38;89;38;39;12261;32;97;10026;
BA;292900;SÃO FÉLIX;34;39;87;39;34;13380;38;115;14762;
MG;310060;ÁGUA BOA;34;39;87;39;39;11376;46;100;13523;
PE;260795;JAQUEIRA;34;39;87;39;43;9909;51;91;11644;
SP;350670;BOA ESPERANÇA DO SUL;34;40;85;40;28;9301;45;143;15018;
RS;431590;RODEIO BONITO;34;40;85;40;32;7458;25;125;5868;
SC;421790;TANGARÁ;34;43;79;43;22;9339;20;195;8662;
PR;411295;JURANDA;34;43;79;43;32;9713;24;134;7292;
GO;521405;MUNDO NOVO;34;43;79;43;34;7270;22;126;4713;
GO;520080;ALVORADA DO NORTE;34;43;79;43;35;9422;32;123;8705;
PR;410260;BARRACÃO;34;44;77;37;44;11083;41;84;10312;
ES;320450;SANTA LEOPOLDINA;34;44;77;44;29;10731;33;152;12197;
PB;250980;MULUNGU;34;45;76;45;34;10518;32;132;9932;
SC;421610;SÃO DOMINGOS;34;45;76;45;37;10131;34;122;9434;
BA;292340;PALMAS DE MONTE ALTO;34;47;72;47;47;14161;73;100;21796;
SP;351360;CUNHA;34;47;72;47;49;15797;66;96;21459;
PR;411980;PLANALTO;34;48;71;48;41;14495;38;117;13431;
SC;421150;NOVA TRENTO;34;48;71;48;53;16204;48;91;14782;
RS;430900;GIRUÁ;34;50;68;40;50;16731;47;80;15863;
BA;291875;LAGOA REAL;34;50;68;50;29;12892;36;172;15770;
GO;520470;CAMPINORTE;34;50;68;50;39;12568;40;128;12764;
BA;293220;UBAITABA;34;51;67;51;56;12670;84;91;18847;
RS;432040;SERAFINA CORRÊA;34;52;65;36;52;17050;54;69;17795;
PR;411190;JAGUAPITÃ;34;53;64;53;39;11868;45;136;13742;
MG;314080;MATIAS BARBOSA;34;54;63;54;32;15035;31;169;14548;
AL;270460;MARAVILHA;34;54;63;54;50;10489;43;108;9004;
PE;260270;BUENOS AIRES;34;55;62;55;49;12804;50;112;13190;
PR;410280;BELA VISTA DO PARAÍSO;34;55;62;55;53;14338;57;104;15399;
BA;290200;ARACATU;34;57;60;57;52;13426;51;110;13045;
RN;241400;TANGARÁ;34;57;60;57;52;15217;54;110;15869;
PR;410790;FLORESTA;34;58;59;44;58;11381;35;76;6851;
MA;211174;SENADOR ALEXANDRE COSTA;34;60;57;60;38;8977;48;158;11214;
MG;312670;FRANCISCO SÁ;34;61;56;61;58;21418;71;105;26369;
ES;320265;IRUPI;34;66;52;66;49;14362;46;135;13526;
PA;150495;NOVA ESPERANÇA DO PIRIÁ;34;67;51;67;76;15344;106;88;21444;
AC;120038;PLÁCIDO DE CASTRO;34;69;49;69;79;17119;92;87;19955;
RS;431950;SÃO SEBASTIÃO DO CAÍ;34;71;48;71;59;18741;82;120;25959;
MS;500710;RIBAS DO RIO PARDO;34;76;45;76;49;15184;81;155;24966;
SP;350940;CAJURU;34;80;43;63;80;23130;91;79;26393;
MG;310110;AIMORÉS;34;82;41;51;82;24216;85;62;25141;
BA;290820;CONCEIÇÃO DA FEIRA;34;83;41;83;57;20480;63;146;22762;
PR;412810;UMUARAMA;340;384;89;384;384;100904;428;100;112500;
MG;317070;VARGINHA;340;463;73;463;395;100374;538;117;136602;
MA;210300;CAXIAS;340;656;52;656;706;153408;762;93;165525;
MG;315670;SABARÁ;342;490;70;490;314;85832;502;156;137125;
BA;293135;TEIXEIRA DE FREITAS;345;590;58;590;680;140248;788;87;162438;
PA;150280;CURRALINHO;35;104;34;83;104;16626;218;80;34994;
GO;521570;PALMEIRAS DE GOIÁS;35;106;33;68;106;24416;128;64;29392;
AM;130310;NOVA OLINDA DO NORTE;35;128;27;128;85;19276;167;151;38026;
PR;410305;BOA VISTA DA APARECIDA;35;37;95;37;31;9827;24;119;7540;
TO;171660;PEIXE;35;37;95;37;32;10132;38;116;11873;
SC;421730;SAUDADES;35;37;95;37;34;10660;31;109;9810;
PR;411230;JAPIRA;35;38;92;38;19;5435;17;200;4930;
RN;240500;JAÇANÃ;35;38;92;38;23;8593;25;165;9238;
MS;500515;JUTI;35;38;92;38;25;7056;24;152;6787;
PE;261590;TUPARETAMA;35;38;92;38;26;8017;27;146;8256;
PR;411080;IRETAMA;35;38;92;38;38;10895;35;100;10098;
MG;316095;SÃO DOMINGOS DAS DORES;35;39;90;39;23;6404;20;170;5658;
GO;520390;BURITI ALEGRE;35;39;90;39;34;9864;33;115;9484;
SP;351520;ESTRELA D'OESTE;35;40;88;40;24;11014;18;167;8419;
PI;220650;MONSENHOR HIPÓLITO;35;40;88;40;26;8497;24;154;7767;
MG;316440;SÃO SEBASTIÃO DA BELA VISTA;35;41;85;41;16;7588;12;256;5552;
SP;350680;BOCAINA;35;41;85;41;24;9765;31;171;12452;
CE;230060;ALTANEIRA;35;41;85;41;31;8816;27;132;7650;
MG;311780;CONCEIÇÃO DOS OUROS;35;41;85;41;33;11784;33;124;11748;
MG;314690;PAPAGAIOS;35;41;85;41;38;11891;51;108;15800;
MT;510130;ARENÁPOLIS;35;41;85;41;46;12455;35;89;9502;
BA;291930;LENÇÓIS;35;42;83;42;28;9607;34;150;11499;
BA;290510;CAÉM;35;42;83;42;37;10714;31;114;9058;
RS;432166;TRÊS CACHOEIRAS;35;42;83;42;40;11678;38;105;11115;
BA;292980;SAÚDE;35;43;81;43;25;10582;31;172;12943;
ES;320225;GOVERNADOR LINDENBERG;35;43;81;43;33;13179;32;130;12880;
MA;210490;GUIMARÃES;35;43;81;43;42;12631;40;102;11997;
PR;411605;MISSAL;35;43;81;43;49;13727;38;88;10704;
GO;521370;MONTES CLAROS DE GOIÁS;35;44;80;44;29;9103;26;152;8047;
MG;312890;GUIMARÂNIA;35;44;80;44;31;9158;27;142;8105;
BA;291960;MACAJUBA;35;44;80;44;40;10844;42;110;11332;
MG;310970;CACHOEIRA DE MINAS;35;45;78;45;34;12429;32;132;11579;
GO;520530;CAVALCANTE;35;45;78;45;38;8969;41;118;9725;
PB;251580;SERRA REDONDA;35;46;76;46;25;8004;22;184;7021;
PA;150013;ABEL FIGUEIREDO;35;46;76;46;28;7114;29;164;7486;
SC;421850;TREZE TÍLIAS;35;46;76;46;37;9817;30;124;7991;
RO;110110;ITAPUÃ DO OESTE;35;47;74;47;18;9936;19;261;10641;
MG;312930;IAPU;35;47;74;47;34;12081;31;138;11045;
MG;313550;JEQUERI;35;48;73;48;37;13800;33;130;12315;
BA;290430;BREJÕES;35;48;73;48;37;13934;38;130;14222;
BA;290130;ANDARAÍ;35;48;73;48;52;13277;51;92;13132;
RN;240990;PENDÊNCIAS;35;49;71;49;40;14589;42;123;15272;
AL;270780;ROTEIRO;35;50;70;50;31;7832;26;161;6649;
MT;510637;PEDRA PRETA;35;50;70;50;54;12669;75;93;17446;
AM;130110;CAREIRO;35;51;69;51;37;10414;135;138;38348;
MS;500345;DEODÁPOLIS;35;52;67;52;46;14445;41;113;12984;
RN;240660;LAGOA SALGADA;35;52;67;52;55;10840;42;95;8297;
PA;150710;SÃO CAETANO DE ODIVELAS;35;53;66;53;54;14928;66;98;18129;
BA;291995;MAETINGA;35;54;65;36;54;8222;18;67;2764;
BA;291535;ITAGUAÇU DA BAHIA;35;54;65;54;37;11350;48;146;14542;
PB;250610;FAGUNDES;35;55;64;55;47;11776;45;117;11215;
BA;292090;MASCOTE;35;57;61;57;36;12006;41;158;13717;
AP;160080;VITÓRIA DO JARI;35;57;61;57;44;10382;69;130;16254;
RN;240120;ARÊS;35;65;54;65;46;13685;48;141;14417;
PA;150430;MARACANÃ;35;67;52;67;77;20878;109;87;29516;
BA;293280;UTINGA;35;70;50;70;62;16395;73;113;19256;
MA;210080;ANAPURUS;35;73;48;73;75;16522;72;97;15894;
AL;270360;JAPARATINGA;35;74;47;74;52;10258;43;142;8403;
MG;313330;ITAOBIM;35;76;46;76;63;20780;64;121;21029;
AL;270750;PORTO REAL DO COLÉGIO;35;78;45;78;72;18963;76;108;20112;
PB;250350;CACIMBA DE DENTRO;35;79;44;79;55;17215;55;144;17178;
RR;140017;CANTÁ;35;89;39;89;73;13786;99;122;18799;
PA;150460;MOCAJUBA;35;89;39;89;83;20817;125;107;31530;
RJ;330270;MARICÁ;350;651;54;651;603;163686;606;108;164504;
PR;410370;CAMBÉ;352;387;91;387;344;95507;387;113;107341;
GO;520110;ANÁPOLIS;355;1267;28;794;1267;257793;1925;63;391772;
CE;230550;IGUATU;355;462;77;462;411;104260;406;112;103074;
PA;150060;ALTAMIRA;357;566;63;566;660;101894;751;86;115969;
PE;261485;TAMANDARÉ;36;113;32;113;113;22866;117;100;23623;
RS;431990;SAPIRANGA;36;131;27;131;138;32428;341;95;80037;
RR;140070;UIRAMUTÃ;36;132;27;103;132;10136;140;78;10789;
MA;211270;VARGEM GRANDE;36;206;17;206;159;37625;242;130;57168;
BA;291360;ILHÉUS;36;296;12;141;296;64296;737;48;159923;
PR;410510;CENTENÁRIO DO SUL;36;36;100;36;29;9924;31;124;10764;
SP;355110;SARAPUÍ;36;38;95;38;20;8836;24;190;10390;
RS;431510;PORTO XAVIER;36;38;95;38;25;10902;23;152;10194;
RN;241450;UMARIZAL;36;39;92;39;31;10614;31;126;10520;
SC;420780;IRANI;36;39;92;39;33;10942;32;118;10498;
MG;310390;ARAÚJOS;36;40;90;40;28;9761;27;143;9401;
SP;355360;TAPIRATIBA;36;40;90;40;31;13798;29;129;12950;
GO;521270;MAMBAÍ;36;40;90;40;32;7748;37;125;9081;
SP;353640;PAULICÉIA;36;40;90;40;32;9808;24;125;7454;
PR;412500;SÃO JOÃO DO IVAÍ;36;40;90;40;38;11572;33;105;10056;
MG;311535;CATAS ALTAS;36;41;88;41;20;6315;17;205;5421;
PR;411725;NOVA PRATA DO IGUAÇU;36;41;88;41;25;10781;24;164;10544;
SC;420370;CANELINHA;36;41;88;41;28;11073;31;146;12398;
BA;293240;UIBAÍ;36;41;88;41;48;15087;44;85;13891;
PB;250010;ÁGUA BRANCA;36;42;86;42;29;10165;29;145;10306;
GO;521720;PIRANHAS;36;42;86;42;38;11748;33;111;10272;
MG;312120;DELFINÓPOLIS;36;43;84;43;25;9443;19;172;7131;
RS;430680;ENCANTADO;36;43;84;43;37;10666;79;116;22880;
PR;412853;VENTANIA;36;44;82;44;28;10200;33;157;12088;
GO;521375;MONTIVIDIU;36;44;82;44;39;10437;51;113;13672;
GO;520780;FIRMINÓPOLIS;36;45;80;45;17;11075;21;265;13449;
GO;521210;JOVIÂNIA;36;45;80;45;22;8297;20;205;7402;
MG;313005;ICARAÍ DE MINAS;36;45;80;45;26;9675;33;173;12097;
AL;270580;OLHO D'ÁGUA DO CASADO;36;45;80;45;33;8959;35;136;9441;
MG;311290;CAPUTIRA;36;45;80;45;34;10126;31;132;9308;
SE;280330;JAPARATUBA;36;45;80;45;46;13893;63;98;18907;
BA;292940;SÃO MIGUEL DAS MATAS;36;46;78;46;24;10956;26;192;11704;
SP;354860;SÃO BENTO DO SAPUCAÍ;36;47;77;47;32;11493;30;147;10893;
RS;432100;TAPERA;36;49;73;49;35;11585;32;140;10577;
MG;310830;BORDA DA MATA;36;49;73;49;38;18497;40;129;19614;
MG;313020;IGARATINGA;36;49;73;49;39;12014;36;126;11005;
MA;210637;MARANHÃOZINHO;36;49;73;49;40;11535;57;123;16511;
RJ;330310;NATIVIDADE;36;49;73;49;53;17979;45;92;15311;
SC;421760;SIDERÓPOLIS;36;51;71;51;30;14377;29;170;14092;
PE;260870;LAGOA DOS GATOS;36;51;71;51;40;12289;53;128;16318;
PI;220030;ALTO LONGÁ;36;54;67;54;29;14072;30;186;14339;
CE;230910;MULUNGU;36;54;67;54;34;10698;35;159;10941;
RN;241255;SÃO MIGUEL DO GOSTOSO;36;55;65;55;15;10894;14;367;10362;
MT;510677;PORTO ALEGRE DO NORTE;36;57;63;57;30;11957;32;190;12685;
AM;130083;CAAPIRANGA;36;57;63;57;41;10612;51;139;13283;
RJ;330560;SILVA JARDIM;36;58;62;58;62;19898;68;94;21774;
MG;311615;CHAPADA GAÚCHA;36;59;61;59;46;12910;50;128;13953;
BA;291140;GLÓRIA;36;59;61;59;65;14245;69;91;15234;
CE;230330;CARIÚS;36;61;59;47;61;18286;62;77;18699;
SE;280340;JAPOATÃ;36;62;58;62;43;11883;49;144;13429;
TO;172210;XAMBIOÁ;36;64;56;37;64;12007;61;58;11520;
AL;270600;OLIVENÇA;36;65;55;65;45;12079;43;144;11657;
MG;313210;ITACARAMBI;36;77;47;77;85;18962;81;91;18164;
PE;260805;JATOBÁ;36;82;44;82;47;12586;55;174;14850;
MG;312200;DIVINO;36;89;40;67;89;21117;84;75;19976;
RN;240110;AREIA BRANCA;36;92;39;92;88;25156;98;105;27967;
AM;130190;ITACOATIARA;361;511;71;511;539;91442;605;95;102701;
SP;351907;HORTOLÂNDIA;364;594;61;399;594;152331;913;67;234259;
SP;354390;RIO CLARO;365;434;84;434;438;126556;720;99;208008;
SP;352310;ITAQUAQUECETUBA;365;455;80;455;395;83719;1768;115;375011;
CE;230420;CRATO;368;603;61;506;603;114929;698;84;133031;
BA;290540;CAIRU;37;107;35;76;107;21379;92;71;18427;
RJ;330020;ARARUAMA;37;209;18;135;209;57737;485;65;134293;
SP;353650;PAULÍNIA;37;38;97;38;32;7556;468;119;112003;
RS;430517;CERRO GRANDE DO SUL;37;39;95;39;25;10061;31;156;12413;
RS;430200;BARROS CASSAL;37;39;95;39;27;10072;30;144;11182;
MG;317103;VERDELÂNDIA;37;40;93;40;30;7955;36;133;9443;
MG;313050;ILICÍNEA;37;40;93;40;42;13733;38;95;12444;
TO;172080;SÍTIO NOVO DO TOCANTINS;37;40;93;40;45;10117;40;89;8997;
RS;431862;SÃO JOSÉ DOS AUSENTES;37;41;90;41;19;6012;11;216;3543;
PR;412000;PORECATU;37;41;90;41;27;11685;29;152;12748;
MG;312020;CRISTAIS;37;41;90;41;33;11817;36;124;12931;
PB;250330;CACHOEIRA DOS ÍNDIOS;37;41;90;41;35;10403;35;117;10305;
GO;520055;ALTO HORIZONTE;37;42;88;42;32;7863;27;131;6605;
PR;410645;CORONEL DOMINGOS SOARES;37;42;88;42;32;9897;24;131;7518;
PR;410990;ICARAÍMA;37;42;88;42;42;10214;32;100;7786;
SC;420350;CAMPO ERÊ;37;44;84;44;42;10747;33;105;8418;
PI;220870;REDENÇÃO DO GURGUÉIA;37;45;82;45;35;7423;41;129;8796;
PE;260330;CALÇADO;37;47;79;47;37;11331;36;127;11018;
SC;420120;ANTÔNIO CARLOS;37;47;79;47;39;11648;29;121;8613;
AC;120032;JORDÃO;37;47;79;47;46;6205;63;102;8473;
PR;410760;FAXINAL;37;47;79;47;54;15447;61;87;17316;
BA;290420;BOTUPORÃ;37;48;77;48;26;10729;25;185;10129;
MT;510626;NOVO MUNDO;37;48;77;48;26;8789;28;185;9363;
RS;430190;BARRA DO RIBEIRO;37;48;77;48;38;11482;45;126;13556;
CE;230980;PACOTI;37;48;77;48;47;11969;48;102;12288;
MS;500215;BODOQUENA;37;49;76;49;31;7941;31;158;7838;
GO;521710;PIRACANJUBA;37;49;76;49;57;20386;69;86;24548;
RN;241040;PUREZA;37;50;74;50;28;9625;28;179;9724;
PR;412180;RIBEIRÃO CLARO;37;51;73;51;45;11998;40;113;10645;
SP;350100;ALTINÓPOLIS;37;51;73;51;52;18753;45;98;16203;
ES;320016;ÁGUA DOCE DO NORTE;37;51;73;51;56;13689;45;91;10909;
PE;260860;LAGOA DO OURO;37;52;71;40;52;13735;50;77;13224;
TO;170100;ANANÁS;37;52;71;52;43;10354;39;121;9492;
SP;352280;ITAPORANGA;37;53;70;44;53;16137;50;83;15173;
MT;510780;SANTO ANTÔNIO DO LEVERGER;37;53;70;53;52;13871;64;102;16999;
AL;270250;DOIS RIACHOS;37;54;69;54;40;11027;40;135;11067;
MG;314050;MARTINHO CAMPOS;37;55;67;55;39;15703;33;141;13443;
MA;210240;CAJAPIÓ;37;56;66;56;42;11037;43;133;11216;
GO;521860;RIALMA;37;58;64;58;49;12460;43;118;10940;
MA;210440;GONÇALVES DIAS;37;58;64;58;56;15305;66;104;17944;
AL;270440;MAJOR ISIDORO;37;58;64;58;59;17638;67;98;19864;
GO;520840;GOIANÁPOLIS;37;60;62;42;60;12475;54;70;11224;
PR;410170;ARARUNA;37;63;59;53;63;15865;56;84;14000;
PB;250939;MATURÉIA;37;66;56;66;38;8306;30;174;6630;
PB;251650;TAPEROÁ;37;68;54;68;58;16566;54;117;15441;
MA;210410;FORTALEZA DOS NOGUEIRAS;37;69;54;51;69;12572;69;74;12647;
GO;520890;GOIÁS;37;79;47;44;79;21436;82;56;22381;
PA;150030;AFUÁ;37;81;46;67;81;10634;300;83;39567;
MG;315780;SANTA LUZIA;370;807;46;807;861;209765;905;94;220444;
PB;251080;PATOS;371;452;82;452;428;105227;440;106;108192;
MS;500830;TRÊS LAGOAS;371;630;59;498;630;125993;616;79;123281;
MG;314390;MURIAÉ;372;441;84;441;410;116427;385;108;109392;
MG;317010;UBERABA;373;873;43;486;873;217814;1351;56;337092;
MG;312230;DIVINÓPOLIS;378;490;77;490;410;123342;799;120;240408;
ES;320120;CACHOEIRO DE ITAPEMIRIM;378;678;56;678;663;183419;761;102;210589;
RJ;330100;CAMPOS DOS GOYTACAZES;379;629;60;629;743;175501;2163;85;511168;
MG;313440;ITURAMA;38;105;36;58;105;26588;156;55;39690;
RS;431580;ROCA SALES;38;39;97;39;22;8966;28;177;11471;
SE;280510;PEDRINHAS;38;40;95;40;26;9441;27;154;9665;
PR;410850;GENERAL CARNEIRO;38;40;95;40;32;8472;51;125;13685;
MG;313690;JURUAIA;38;42;90;42;40;12637;34;105;10681;
PB;251640;TACIMA;38;44;86;44;21;9389;24;210;10969;
MG;317160;VIRGEM DA LAPA;38;44;86;44;32;13045;34;138;13740;
SC;421600;SÃO CARLOS;38;44;86;44;34;10962;35;129;11369;
SP;352170;ITABERÁ;38;44;86;44;42;12804;58;105;17480;
BA;292975;SAUBARA;38;45;84;45;23;12154;23;196;12105;
SP;355635;VARGEM;38;45;84;45;24;7424;34;188;10692;
SP;353810;PINDORAMA;38;45;84;45;35;14854;40;129;17216;
SE;280610;ROSÁRIO DO CATETE;38;45;84;45;35;9405;41;129;11008;
PI;220510;ITAUEIRA;38;47;81;47;38;10754;39;124;11028;
