uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AM,PNEUMONIA,HOSPITAL,"< 9",F,15
AM,PNEUMONIA,HOSPITAL,"< 9",M,19
AM,PNEUMONIA,OUTRO,"< 9",F,3
AM,PNEUMONIA,OUTRO,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,45
AM,SEPTICEMIA,HOSPITAL,"< 9",M,65
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTRO,"< 9",M,3
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,SRAG,HOSPITAL,"< 9",M,2
AP,OUTRAS,DOMICILIO,"< 9",F,1
AP,OUTRAS,HOSPITAL,"< 9",F,10
AP,OUTRAS,HOSPITAL,"< 9",M,14
AP,OUTRAS,OUTRO,"< 9",M,1
AP,COVID,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
AP,PNEUMONIA,DOMICILIO,"< 9",F,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,4
AP,PNEUMONIA,HOSPITAL,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",F,9
AP,SEPTICEMIA,HOSPITAL,"< 9",M,3
AP,SRAG,HOSPITAL,"< 9",F,2
AP,SRAG,HOSPITAL,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,14
BA,OUTRAS,DOMICILIO,"< 9",M,18
BA,OUTRAS,HOSPITAL,"< 9",F,216
BA,OUTRAS,HOSPITAL,"< 9",I,8
BA,OUTRAS,HOSPITAL,"< 9",M,265
BA,OUTRAS,IGNORADO,"< 9",F,2
BA,OUTRAS,OUTRO,"< 9",F,1
BA,OUTRAS,OUTRO,"< 9",M,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,10
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,16
BA,OUTRAS,VIA_PUBLICA,"< 9",F,1
BA,COVID,HOSPITAL,"< 9",F,16
BA,COVID,HOSPITAL,"< 9",M,18
BA,COVID,OUTRO,"< 9",M,1
BA,INDETERMINADA,HOSPITAL,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,71
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,94
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",I,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
BA,PNEUMONIA,HOSPITAL,"< 9",F,18
BA,PNEUMONIA,HOSPITAL,"< 9",M,23
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
BA,SEPTICEMIA,DOMICILIO,"< 9",M,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,95
BA,SEPTICEMIA,HOSPITAL,"< 9",M,109
BA,SEPTICEMIA,OUTRO,"< 9",M,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
BA,SRAG,HOSPITAL,"< 9",F,5
BA,SRAG,HOSPITAL,"< 9",M,4
CE,OUTRAS,DOMICILIO,"< 9",F,4
CE,OUTRAS,DOMICILIO,"< 9",M,12
CE,OUTRAS,HOSPITAL,"< 9",F,183
CE,OUTRAS,HOSPITAL,"< 9",I,7
CE,OUTRAS,HOSPITAL,"< 9",M,214
CE,OUTRAS,IGNORADO,"< 9",F,11
CE,OUTRAS,IGNORADO,"< 9",M,23
CE,OUTRAS,OUTRO,"< 9",F,3
CE,OUTRAS,OUTRO,"< 9",M,3
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
CE,OUTRAS,VIA_PUBLICA,"< 9",M,4
CE,COVID,DOMICILIO,"< 9",M,1
CE,COVID,HOSPITAL,"< 9",F,27
CE,COVID,HOSPITAL,"< 9",M,24
CE,COVID,IGNORADO,"< 9",F,1
CE,COVID,IGNORADO,"< 9",M,1
CE,INDETERMINADA,DOMICILIO,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,4
CE,INDETERMINADA,HOSPITAL,"< 9",M,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,10
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,21
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,3
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,5
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,9
CE,PNEUMONIA,HOSPITAL,"< 9",M,9
CE,PNEUMONIA,IGNORADO,"< 9",M,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",F,1
CE,SEPTICEMIA,DOMICILIO,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,34
CE,SEPTICEMIA,HOSPITAL,"< 9",M,66
CE,SEPTICEMIA,IGNORADO,"< 9",F,9
CE,SEPTICEMIA,IGNORADO,"< 9",M,6
CE,SEPTICEMIA,OUTRO,"< 9",F,1
CE,SRAG,HOSPITAL,"< 9",F,2
CE,SRAG,HOSPITAL,"< 9",M,1
DF,OUTRAS,DOMICILIO,"< 9",F,1
DF,OUTRAS,HOSPITAL,"< 9",F,58
DF,OUTRAS,HOSPITAL,"< 9",M,73
DF,OUTRAS,IGNORADO,"< 9",F,6
DF,OUTRAS,IGNORADO,"< 9",M,3
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
DF,OUTRAS,VIA_PUBLICA,"< 9",F,1
DF,COVID,HOSPITAL,"< 9",F,2
DF,COVID,HOSPITAL,"< 9",M,2
DF,INDETERMINADA,HOSPITAL,"< 9",F,1
DF,INDETERMINADA,HOSPITAL,"< 9",M,3
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,16
DF,PNEUMONIA,HOSPITAL,"< 9",F,2
DF,PNEUMONIA,HOSPITAL,"< 9",M,3
DF,SEPTICEMIA,DOMICILIO,"< 9",F,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,20
DF,SEPTICEMIA,HOSPITAL,"< 9",M,38
ES,OUTRAS,DOMICILIO,"< 9",F,5
ES,OUTRAS,DOMICILIO,"< 9",M,3
ES,OUTRAS,HOSPITAL,"< 9",F,44
ES,OUTRAS,HOSPITAL,"< 9",M,57
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,OUTRAS,VIA_PUBLICA,"< 9",M,1
ES,COVID,HOSPITAL,"< 9",F,4
ES,COVID,HOSPITAL,"< 9",M,5
ES,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,5
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,9
ES,PNEUMONIA,HOSPITAL,"< 9",M,11
ES,SEPTICEMIA,DOMICILIO,"< 9",M,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,28
ES,SEPTICEMIA,HOSPITAL,"< 9",M,47
ES,SRAG,HOSPITAL,"< 9",F,1
ES,SRAG,HOSPITAL,"< 9",M,2
GO,OUTRAS,DOMICILIO,"< 9",F,6
GO,OUTRAS,DOMICILIO,"< 9",M,7
GO,OUTRAS,HOSPITAL,"< 9",F,60
GO,OUTRAS,HOSPITAL,"< 9",I,1
GO,OUTRAS,HOSPITAL,"< 9",M,66
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,IGNORADO,"< 9",M,2
GO,OUTRAS,OUTRO,"< 9",M,2
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,6
GO,OUTRAS,VIA_PUBLICA,"< 9",F,1
GO,COVID,HOSPITAL,"< 9",F,6
GO,COVID,HOSPITAL,"< 9",M,5
GO,COVID,OUTRO,"< 9",M,1
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INDETERMINADA,HOSPITAL,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,17
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,29
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
GO,PNEUMONIA,HOSPITAL,"< 9",F,8
GO,PNEUMONIA,HOSPITAL,"< 9",M,6
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,39
GO,SEPTICEMIA,HOSPITAL,"< 9",M,59
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,OUTRAS,AMBULANCIA,"< 9",M,1
MA,OUTRAS,DOMICILIO,"< 9",F,12
MA,OUTRAS,DOMICILIO,"< 9",M,12
MA,OUTRAS,HOSPITAL,"< 9",F,71
MA,OUTRAS,HOSPITAL,"< 9",I,2
MA,OUTRAS,HOSPITAL,"< 9",M,84
MA,OUTRAS,OUTRO,"< 9",F,4
MA,OUTRAS,OUTRO,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,1
MA,OUTRAS,VIA_PUBLICA,"< 9",M,3
MA,COVID,HOSPITAL,"< 9",F,3
MA,COVID,HOSPITAL,"< 9",M,7
MA,INDETERMINADA,HOSPITAL,"< 9",F,1
MA,INDETERMINADA,HOSPITAL,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,10
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,PNEUMONIA,DOMICILIO,"< 9",M,2
MA,PNEUMONIA,HOSPITAL,"< 9",F,7
MA,PNEUMONIA,HOSPITAL,"< 9",M,11
MA,PNEUMONIA,OUTRO,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,26
MA,SEPTICEMIA,HOSPITAL,"< 9",M,19
MA,SRAG,HOSPITAL,"< 9",F,2
MA,SRAG,HOSPITAL,"< 9",M,1
MA,SRAG,OUTRO,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,18
MG,OUTRAS,DOMICILIO,"< 9",M,19
MG,OUTRAS,HOSPITAL,"< 9",F,266
MG,OUTRAS,HOSPITAL,"< 9",I,3
MG,OUTRAS,HOSPITAL,"< 9",M,316
MG,OUTRAS,IGNORADO,"< 9",F,5
MG,OUTRAS,IGNORADO,"< 9",M,9
MG,OUTRAS,OUTRO,"< 9",F,1
MG,OUTRAS,OUTRO,"< 9",M,4
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,19
MG,OUTRAS,VIA_PUBLICA,"< 9",F,2
MG,OUTRAS,VIA_PUBLICA,"< 9",M,4
MG,COVID,HOSPITAL,"< 9",F,11
MG,COVID,HOSPITAL,"< 9",M,12
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,1
MG,INDETERMINADA,HOSPITAL,"< 9",F,7
MG,INDETERMINADA,HOSPITAL,"< 9",M,8
MG,INDETERMINADA,OUTRO,"< 9",F,1
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,41
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,61
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,2
MG,PNEUMONIA,HOSPITAL,"< 9",F,20
MG,PNEUMONIA,HOSPITAL,"< 9",M,14
MG,PNEUMONIA,IGNORADO,"< 9",F,1
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,SEPTICEMIA,DOMICILIO,"< 9",M,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,112
MG,SEPTICEMIA,HOSPITAL,"< 9",M,145
MG,SEPTICEMIA,IGNORADO,"< 9",F,5
MG,SEPTICEMIA,IGNORADO,"< 9",M,3
MG,SEPTICEMIA,OUTRO,"< 9",F,1
MG,SRAG,HOSPITAL,"< 9",F,2
MG,SRAG,HOSPITAL,"< 9",M,1
MG,SRAG,IGNORADO,"< 9",F,1
MS,OUTRAS,DOMICILIO,"< 9",F,9
MS,OUTRAS,DOMICILIO,"< 9",M,3
MS,OUTRAS,HOSPITAL,"< 9",F,74
MS,OUTRAS,HOSPITAL,"< 9",M,91
MS,OUTRAS,OUTRO,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",M,1
MS,OUTRAS,VIA_PUBLICA,"< 9",M,3
MS,COVID,HOSPITAL,"< 9",F,4
MS,COVID,HOSPITAL,"< 9",M,2
MS,INDETERMINADA,HOSPITAL,"< 9",F,1
MS,INDETERMINADA,HOSPITAL,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,13
MS,PNEUMONIA,DOMICILIO,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",M,2
MS,PNEUMONIA,HOSPITAL,"< 9",F,7
MS,PNEUMONIA,HOSPITAL,"< 9",M,9
MS,SEPTICEMIA,HOSPITAL,"< 9",F,16
MS,SEPTICEMIA,HOSPITAL,"< 9",M,20
MT,OUTRAS,DOMICILIO,"< 9",F,2
MT,OUTRAS,DOMICILIO,"< 9",M,2
MT,OUTRAS,HOSPITAL,"< 9",F,46
MT,OUTRAS,HOSPITAL,"< 9",I,1
MT,OUTRAS,HOSPITAL,"< 9",M,58
MT,OUTRAS,IGNORADO,"< 9",F,16
MT,OUTRAS,IGNORADO,"< 9",M,19
MT,OUTRAS,OUTRO,"< 9",F,3
MT,OUTRAS,OUTRO,"< 9",M,8
MT,COVID,HOSPITAL,"< 9",F,2
MT,COVID,HOSPITAL,"< 9",M,3
MT,COVID,IGNORADO,"< 9",F,5
MT,INDETERMINADA,IGNORADO,"< 9",M,2
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,8
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,3
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,12
MT,PNEUMONIA,HOSPITAL,"< 9",F,4
MT,PNEUMONIA,HOSPITAL,"< 9",M,3
MT,PNEUMONIA,IGNORADO,"< 9",F,2
MT,PNEUMONIA,IGNORADO,"< 9",M,4
MT,SEPTICEMIA,HOSPITAL,"< 9",F,16
MT,SEPTICEMIA,HOSPITAL,"< 9",M,20
MT,SEPTICEMIA,IGNORADO,"< 9",F,16
MT,SEPTICEMIA,IGNORADO,"< 9",M,20
MT,SEPTICEMIA,OUTRO,"< 9",F,1
MT,SEPTICEMIA,OUTRO,"< 9",M,1
MT,SRAG,IGNORADO,"< 9",F,2
PA,OUTRAS,DOMICILIO,"< 9",F,11
PA,OUTRAS,DOMICILIO,"< 9",M,9
PA,OUTRAS,HOSPITAL,"< 9",F,69
PA,OUTRAS,HOSPITAL,"< 9",I,3
PA,OUTRAS,HOSPITAL,"< 9",M,96
PA,OUTRAS,OUTRO,"< 9",F,5
PA,OUTRAS,OUTRO,"< 9",M,6
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PA,OUTRAS,VIA_PUBLICA,"< 9",F,5
PA,OUTRAS,VIA_PUBLICA,"< 9",M,1
PA,COVID,HOSPITAL,"< 9",F,3
PA,COVID,HOSPITAL,"< 9",M,6
PA,COVID,OUTRO,"< 9",F,1
PA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PA,INDETERMINADA,DOMICILIO,"< 9",F,2
PA,INDETERMINADA,HOSPITAL,"< 9",M,2
PA,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,30
PA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
PA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,PNEUMONIA,DOMICILIO,"< 9",M,2
PA,PNEUMONIA,HOSPITAL,"< 9",F,15
PA,PNEUMONIA,HOSPITAL,"< 9",M,21
PA,SEPTICEMIA,HOSPITAL,"< 9",F,27
PA,SEPTICEMIA,HOSPITAL,"< 9",M,28
PA,SEPTICEMIA,IGNORADO,"< 9",F,1
PA,SRAG,HOSPITAL,"< 9",M,3
PB,OUTRAS,DOMICILIO,"< 9",F,16
PB,OUTRAS,DOMICILIO,"< 9",M,11
PB,OUTRAS,HOSPITAL,"< 9",F,65
PB,OUTRAS,HOSPITAL,"< 9",I,2
PB,OUTRAS,HOSPITAL,"< 9",M,64
PB,OUTRAS,OUTRO,"< 9",F,2
PB,OUTRAS,OUTRO,"< 9",M,2
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,9
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,1
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,15
PB,OUTRAS,VIA_PUBLICA,"< 9",F,1
PB,OUTRAS,VIA_PUBLICA,"< 9",M,1
PB,COVID,HOSPITAL,"< 9",M,9
PB,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,INDETERMINADA,DOMICILIO,"< 9",F,1
PB,INDETERMINADA,HOSPITAL,"< 9",F,1
PB,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,10
PB,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
PB,PNEUMONIA,HOSPITAL,"< 9",F,9
PB,PNEUMONIA,HOSPITAL,"< 9",M,15
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PB,SEPTICEMIA,HOSPITAL,"< 9",F,29
PB,SEPTICEMIA,HOSPITAL,"< 9",M,42
PB,SEPTICEMIA,IGNORADO,"< 9",F,1
PB,SEPTICEMIA,OUTRO,"< 9",F,1
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
PB,SRAG,HOSPITAL,"< 9",M,1
PE,OUTRAS,DOMICILIO,"< 9",F,13
PE,OUTRAS,DOMICILIO,"< 9",M,11
PE,OUTRAS,HOSPITAL,"< 9",F,286
PE,OUTRAS,HOSPITAL,"< 9",I,8
PE,OUTRAS,HOSPITAL,"< 9",M,308
PE,OUTRAS,IGNORADO,"< 9",F,2
PE,OUTRAS,IGNORADO,"< 9",M,1
PE,OUTRAS,OUTRO,"< 9",F,1
PE,OUTRAS,OUTRO,"< 9",M,5
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
PE,OUTRAS,VIA_PUBLICA,"< 9",F,2
PE,OUTRAS,VIA_PUBLICA,"< 9",M,6
PE,COVID,HOSPITAL,"< 9",F,12
PE,COVID,HOSPITAL,"< 9",M,13
PE,INDETERMINADA,DOMICILIO,"< 9",F,1
PE,INDETERMINADA,DOMICILIO,"< 9",M,1
PE,INDETERMINADA,HOSPITAL,"< 9",F,8
PE,INDETERMINADA,HOSPITAL,"< 9",M,8
PE,INDETERMINADA,OUTRO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,21
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,28
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
PE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
